model,source_path,count,control,metric,selected_value,control_value,selected_minus_control
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,16,random_copy_bos,ppl_ratio_vs_clean,1.1949865164975706,1.196626363977662,-0.0016398474800913831
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,16,random_copy_bos,inserted_attention_mean,0.4395322259515524,0.41180827530721825,0.02772395064433414
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,16,random_copy_bos,inserted_minus_bos_mean,0.4346300270408392,0.3863053849587838,0.04832464208205539
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,16,ordinary_repeat_only,ppl_ratio_vs_clean,1.1949865164975706,1.0015371271929772,0.19344938930459343
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,16,ordinary_repeat_only,inserted_attention_mean,0.4395322259515524,0.04467019476578571,0.3948620311857667
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,16,ordinary_repeat_only,inserted_minus_bos_mean,0.4346300270408392,-0.25515817586953443,0.6897882029103737
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,32,bos_repeat_only,ppl_ratio_vs_clean,1.3847937019643848,1.3907166681772878,-0.0059229662129030025
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,32,bos_repeat_only,inserted_attention_mean,0.4739857117335002,0.45657957966128987,0.017406132072210312
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,32,bos_repeat_only,inserted_minus_bos_mean,0.47123041686912376,0.4424704884489377,0.028759928420186043
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,32,random_copy_bos,ppl_ratio_vs_clean,1.3847937019643848,1.38912011064942,-0.004326408685035199
